1	N193 N11908 	N12727 N14760 N1722 N3765	1 1 0 0
2	N1506 N2248 N2307 N2571 N4196 N5079 N6425 N8257 N12550 N13257 N15716 N16351 N17848 N17895 N19590 N19659 N20307 N21076 N21637 N22187 N22388 N24398 	N25131 N25818 N12914 N5575	1 1 0 0
3	N1736 N1870 N2192 N2847 N3288 N4333 N4349 N4539 N4878 N4969 N5740 N8780 N9456 N12693 N16580 N17022 N17023 N18030 N20084 N20357 N21021 	N22112 N23691 N2648 N8877	1 1 0 0
4	N6193 	N14123 N21147 N15072 N19284	1 1 0 0
5	N480 N3261 N4247 N6603 N7517 N9563 N9934 N9969 N10541 N11860 N12053 N12233 N12468 N14333 N14994 N15023 N15480 N17476 N18821 N19172 N19751 N19895 N20988 N22186 N22392 N23845 N23909 	N25358 N25960 N6766 N25055	1 1 0 0
6	N6071 N12723 	N13776 N14631 N6856 N1984	1 1 0 0
7	N1209 N2533 N3158 N3303 N4970 N6000 N7652 N8727 N9066 N13881 N14687 N15894 N20576 N24971 N25233 	N25555 N25722 N16681 N17538	1 1 0 0
8	N7621 N8063 	N12244 N22943 N8376 N17471	1 1 0 0
9	N424 N479 N1751 N6051 N9850 	N13560 N19697 N21677 N25544	1 1 0 0
10	N5697 N15701 	N16519 N19854 N19003 N11988	1 1 0 0
11	N3107 N3834 N5788 N8803 N9400 N9810 N9864 N9865 N12541 N19633 	N22889 N25418 N6212 N6977	1 1 0 0
12	N2483 N13578 N17111 N17898 N20318 	N22111 N23155 N25168 N8624	1 1 0 0
13	N2250 	N2648 N19865 N23042 N847	1 1 0 0
14	N2510 N4792 	N16512 N25601 N6248 N4658	1 1 0 0
15	N247 N841 N1336 N1383 N1388 N1894 N1929 N2050 N2696 N2751 N2770 N3265 N3808 N4372 N4606 N4660 N4754 N5165 N5507 N6574 N6728 N6927 N7762 N8128 N8188 N8368 N8441 N9547 N9548 N9711 N9869 N10734 N10824 N11090 N11496 N11956 N12104 N12589 N12811 N13578 N13634 N13815 N13846 N14211 N14337 N14970 N15680 N15759 N16894 N17061 N17107 N17426 N17698 N18177 N18465 N18471 N19250 N20100 N21270 N22014 N22370 N22790 N22811 N23043 N23044 N23146 N23148 N23790 N23869 N24185 N24408 	N24831 N25731 N3887 N10473	1 1 0 0
16	N54 N319 N329 N899 N1094 N1942 N2336 N2560 N2943 N3624 N5038 N5749 N6038 N6629 N6793 N7188 N7273 N7776 N7994 N8123 N9526 N10190 N10734 N11591 N11720 N11761 N14281 N14760 N14766 N15184 N15325 N15864 N16528 N16568 N17912 N18088 N19680 N19793 N20217 N20794 N20941 N22038 N22064 N22105 N22379 N22503 N22527 N22674 N23281 N24070 N24321 N24798 	N25024 N25652 N18119 N16914	1 1 0 0
17	N11448 N12099 	N25446 N25558 N16895 N2891	1 1 0 0
18	N903 N5731 N8398 N14693 N16847 	N17826 N23591 N20961 N24206	1 1 0 0
19	N145 N2738 N7017 N8576 N8682 N9303 N9601 N12543 N13506 N16390 N18099 N18246 N18326 	N21234 N25924 N8414 N792	1 1 0 0
20	N6205 N6786 N12020 N13036 	N13992 N16826 N7755 N15348	1 1 0 0
21	N3909 N7824 N8428 N9977 N17247 	N21792 N25638 N25714 N10300	1 1 0 0
22	N1556 N3563 N4526 N7779 N8249 	N15892 N25300 N12405 N15337	1 1 0 0
23	N120 	N24444 N25716 N7263 N25340	1 1 0 0
24	N4708 N7275 N13226 N14180 N18572 N18574 N20930 	N22208 N23485 N16618 N25585	1 1 0 0
25	N160 N620 N3379 N7214 N8331 N8407 N8820 N9431 	N17487 N23281 N13529 N22822	1 1 0 0
26	N3026 N9702 	N10725 N23898 N15822 N9664	1 1 0 0
27	N14555 	N17974 N24137 N370 N8057	1 1 0 0
28	N6140 N8445 N10859 N11400 N18670 N20043 	N20975 N21297 N17338 N25586	1 1 0 0
29	N7171 	N9861 N24592 N16858 N24204	1 1 0 0
30	N876 N2815 N6795 N10891 N14469 N15894 N19865 N21711 	N21756 N23135 N21166 N8593	1 1 0 0
31	N4905 N6085 	N6858 N19020 N11134 N20450	1 1 0 0
32	N545 N5891 N15878 N19267 	N20571 N25603 N18149 N9251	1 1 0 0
33	N2638 	N9445 N17342 N2549 N7646	1 1 0 0
34	N2511 N2969 N5892 N17733 N18183 N19000 	N21101 N24385 N14541 N20250	1 1 0 0
35	N5344 N5525 	N10959 N10961 N16019 N16439	1 1 0 0
36	N213 N1437 N4204 N4574 N5450 N7148 N7259 N7643 N7918 N9786 N10696 N11228 N11754 N11977 N13733 N16586 N16616 N17953 N19276 N19413 N19879 N20087 N21179 N22362 N22796 N23819 	N24595 N25228 N20439 N23130	1 1 0 0
37	N13465 N13915 N15833 N22322 N22516 N22718 	N23078 N24952 N17632 N11105	1 1 0 0
38	N3928 	N15039 N18286 N2108 N5163	1 1 0 0
39	N11882 	N16210 N22233 N7695 N20549	1 1 0 0
40	N1274 N1275 N7732 	N23423 N25001 N15104 N12920	1 1 0 0
41	N2925 N4904 N7048 N11008 N15000 N18048 	N19785 N23639 N703 N10558	1 1 0 0
42	N311 N1520 N3704 N4325 N5261 N5381 N7261 N7353 N8137 N8813 N9047 N9187 N9718 N11005 N11252 N11520 N11727 N12130 N12861 N12955 N13575 N13684 N14095 N14291 N15988 N18123 N19627 N20670 	N22192 N25602 N4427 N20651	1 1 0 0
43	N2894 N3920 N8946 N14966 	N18280 N25075 N8610 N25439	1 1 0 0
44	N400 N968 	N3907 N7728 N14698 N25131	1 1 0 0
45	N3882 N13021 	N13495 N25888 N9576 N13792	1 1 0 0
46	N3715 N6649 N6870 N8540 N9384 N12655 N15898 N16191 N19671 N21597 N22330 N22516 N22889 	N23337 N25869 N19336 N8003	1 1 0 0
47	N5415 N11221 N11405 N13778 N14675 N14749 N15351 N16879 	N17203 N23113 N17150 N18489	1 1 0 0
48	N2424 	N4300 N13123 N22395 N16053	1 1 0 0
49	N4367 N4805 N5425 N10507 N11778 N12562 N14331 	N16125 N25889 N15111 N6018	1 1 0 0
50	N7936 	N14681 N21086 N19921 N14734	1 1 0 0
51	N1205 N1445 N4394 N4797 N5012 N5992 N6023 N7170 N7260 N8707 N8725 N9907 N11040 N12697 N13933 N14879 N14996 N15348 N15538 N16735 N16857 N18832 N19558 N20647 N20931 N21258 N21643 N22168 N22815 N23180 N24917 N25154 N25174 	N25894 N25964 N11825 N18270	1 1 0 0
52	N64 N797 N1823 N2872 N3892 N8888 N16544 N17181 N17487 	N21490 N21681 N15720 N4205	1 1 0 0
53	N715 N13599 	N16694 N17487 N1653 N8097	1 1 0 0
